epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.52203,1.01146,3.44427,2.32519,1.31541,0,0.84297,0.83333,0.89272,0.77011,0.80925,0.8,0.89058,0.71476,0.48316,1.12737,1.6501,0.5123,0,0.00036,0.00036,0.00036
2,10.4123,0.80784,1.71492,1.23387,1.16293,0,0.90156,0.91616,0.93097,0.70791,0.93531,0.96395,0.95977,0.67011,0.84511,2.04779,1.15573,0.7526,0,0.000732674,0.000732674,0.000732674
3,14.2544,0.786,1.56896,0.98854,1.1419,0,0.47758,0.9,0.57954,0.45144,0.40217,0.66667,0.4124,0.20171,0.87196,6.12069,1.91607,0.70189,0,0.00109782,0.00109782,0.00109782
4,18.3923,0.78634,1.72252,0.93482,1.12889,0,0.70644,0.9,0.81928,0.67962,0.70644,0.9,0.81223,0.55687,0.63433,6.95698,2.213,0.62413,0,0.00145545,0.00145545,0.00145545
5,22.2427,0.74967,1.56705,0.86117,1.1106,0,0.83735,0.85824,0.9175,0.75476,0.83735,0.85824,0.9175,0.7421,0.70639,2.10554,1.21994,0.62539,0,0.00180555,0.00180555,0.00180555
6,26.0391,0.75552,1.58753,0.85213,1.10702,0,0.64081,0.63333,0.66713,0.48631,0.40204,0.63333,0.3957,0.1962,0.73572,5.77524,1.59503,0.66148,0,0.001901,0.001901,0.001901
7,29.668,0.79415,1.45485,0.84089,1.12292,0,0.76337,0.76667,0.81503,0.61379,0.76337,0.76667,0.81936,0.62594,0.88222,1.58224,1.76999,0.69952,0,0.0018812,0.0018812,0.0018812
8,33.0669,0.77612,1.454,0.81553,1.10995,0,0.81418,0.73035,0.83172,0.50423,0.84977,0.75451,0.84369,0.60977,0.79564,1.51188,1.60017,0.73434,0,0.0018614,0.0018614,0.0018614
9,36.2876,0.71269,1.32963,0.76283,1.07653,0,0.96273,0.96667,0.96516,0.74142,0.92931,0.93333,0.93237,0.70747,0.85606,2.98268,0.85022,0.64208,0,0.0018416,0.0018416,0.0018416
10,39.6233,0.70629,1.47819,0.75363,1.08772,0,0.94556,0.86667,0.94352,0.6572,0.93341,0.93453,0.94644,0.74375,0.82327,1.08567,1.06968,0.65877,0,0.0018218,0.0018218,0.0018218
11,43.1297,0.7068,1.4274,0.75976,1.0816,0,0.95259,0.86667,0.95335,0.68846,0.91595,0.83333,0.92118,0.45348,0.75592,2.8151,0.93519,0.62523,0,0.001802,0.001802,0.001802
12,46.4933,0.65806,1.29525,0.68769,1.0499,0,0.90062,0.96667,0.95749,0.84832,0.90062,0.96667,0.95749,0.81609,0.53421,1.0042,1.01864,0.52084,0,0.0017822,0.0017822,0.0017822
13,49.8888,0.66797,1.3436,0.69036,1.06,0,0.92548,0.96667,0.96182,0.83467,0.97256,0.9,0.95685,0.80728,0.56794,1.43726,0.59569,0.51095,0,0.0017624,0.0017624,0.0017624
14,53.1748,0.65202,1.32824,0.70288,1.0516,0,0.89633,0.93333,0.94295,0.82612,0.89633,0.93333,0.9391,0.82421,0.54061,0.9259,0.81057,0.53125,0,0.0017426,0.0017426,0.0017426
15,56.6155,0.6301,1.18458,0.66202,1.04097,0,0.99583,0.96667,0.96517,0.86007,0.99583,0.96667,0.96517,0.70422,0.57841,1.83951,0.5792,0.52986,0,0.0017228,0.0017228,0.0017228
16,59.9584,0.65546,1.28806,0.66196,1.06069,0,0.9814,0.96667,0.96516,0.85937,0.9814,0.96667,0.96516,0.83594,0.53114,1.17026,0.55654,0.49062,0,0.001703,0.001703,0.001703
17,63.6797,0.61869,1.28355,0.6442,1.04142,0,0.922,0.9,0.94426,0.81114,0.922,0.9,0.93535,0.79011,0.62155,1.46355,0.68839,0.51129,0,0.0016832,0.0016832,0.0016832
18,67.3697,0.64336,1.30669,0.67001,1.04444,0,0.90913,0.9,0.92984,0.76734,0.90913,0.9,0.92984,0.81064,0.73059,0.73462,0.81888,0.59608,0,0.0016634,0.0016634,0.0016634
19,71.019,0.64366,1.2568,0.64159,1.05621,0,0.99675,0.96667,0.96524,0.81826,0.99675,0.96667,0.96524,0.86202,0.66438,0.81378,0.52746,0.58188,0,0.0016436,0.0016436,0.0016436
20,74.5529,0.6061,1.19456,0.61248,1.03629,0,0.96509,0.96667,0.96428,0.84514,0.96509,0.96667,0.96428,0.86832,0.61685,0.93652,0.50326,0.52843,0,0.0016238,0.0016238,0.0016238
